time, 2843ad924d2001b5, 289329dd4d2001df, 288b18924d200116
1632662480.041581, 56.3, 54.72, 57.09
1632662480.8868058, 56.3, 54.84, 57.2
1632662481.7313526, 56.3, 54.72, 57.09
1632662482.576214, 56.3, 54.72, 57.2
1632662483.4212606, 56.3, 54.84, 57.2
1632662484.2663934, 56.3, 54.72, 57.09
1632662485.1112416, 56.3, 54.72, 57.2
1632662485.9561677, 56.3, 54.84, 57.2
1632662486.800997, 56.3, 54.72, 57.09
1632662487.646035, 56.3, 54.84, 57.09
1632662488.4909484, 56.3, 54.72, 57.09
1632662489.3358502, 56.3, 54.72, 57.2
1632662490.180703, 56.3, 54.72, 57.09
1632662491.025617, 56.3, 54.61, 57.09
1632662491.8704383, 56.3, 54.72, 57.09
1632662492.7152998, 56.3, 54.72, 57.09
1632662493.5600736, 56.3, 54.72, 57.09
1632662494.404997, 56.3, 54.72, 57.09
1632662495.2499366, 56.3, 54.72, 57.09
1632662496.094955, 56.3, 54.61, 57.09
1632662496.9394066, 56.3, 54.72, 57.09
1632662497.7841766, 56.3, 54.61, 57.09
1632662498.6287043, 56.3, 54.61, 57.09
1632662499.473311, 56.3, 54.61, 57.09
1632662500.3178024, 56.41, 54.61, 57.09
1632662501.1623018, 56.3, 54.61, 57.09
1632662502.0068746, 56.3, 54.61, 57.09
1632662502.8515358, 56.3, 54.61, 57.09
1632662503.695968, 56.3, 54.61, 57.09
1632662504.5408087, 56.3, 54.61, 57.09
1632662505.3852036, 56.3, 54.61, 57.09
1632662506.2295344, 56.3, 54.61, 57.09
1632662507.0741107, 56.3, 54.61, 57.09
1632662507.918653, 56.3, 54.61, 57.09
1632662508.7633288, 56.3, 54.61, 57.09
1632662509.608008, 56.3, 54.61, 57.09
1632662510.4524815, 56.3, 54.61, 57.09
1632662511.2971568, 56.3, 54.61, 57.09
1632662512.1418176, 56.3, 54.61, 57.09
1632662512.9862692, 56.3, 54.61, 57.09
1632662513.8308525, 56.3, 54.61, 57.09
1632662514.6754656, 56.3, 54.61, 56.97
1632662515.5200124, 56.3, 54.61, 57.09
1632662516.364565, 56.3, 54.61, 56.97
1632662517.2092566, 56.3, 54.61, 56.97
1632662518.0537543, 56.3, 54.61, 57.09
1632662518.8979454, 56.3, 54.61, 56.97
1632662519.7427642, 56.3, 54.61, 56.97
1632662520.5872676, 56.3, 54.61, 56.97
1632662521.4319308, 56.3, 54.61, 56.97
1632662522.2766976, 56.3, 54.61, 56.97
1632662523.1213305, 56.3, 54.61, 56.97
1632662523.9657903, 56.3, 54.61, 56.97
1632662524.8104177, 56.3, 54.61, 56.97
1632662525.6551166, 56.3, 54.61, 56.97
1632662526.4996939, 56.3, 54.5, 56.97
1632662527.3443522, 56.3, 54.61, 56.97
1632662528.1889052, 56.3, 54.61, 56.97
1632662529.0334659, 56.3, 54.61, 56.97
1632662529.878122, 56.3, 54.61, 56.97
1632662530.7225761, 56.3, 54.61, 56.97
1632662531.5670404, 56.3, 54.61, 56.97
1632662532.4116693, 56.3, 54.61, 56.97
1632662533.2562227, 56.3, 54.61, 56.97
1632662534.100875, 56.3, 54.61, 56.97
1632662534.9457536, 56.41, 54.61, 56.97
1632662535.7901752, 56.3, 54.61, 56.97
1632662536.6348946, 56.3, 54.5, 56.97
1632662537.4794738, 56.3, 54.61, 56.97
1632662538.3240917, 56.3, 54.61, 56.97
1632662539.1690967, 56.3, 54.61, 56.97
1632662540.0133703, 56.41, 54.5, 56.97
1632662540.8579714, 56.41, 54.61, 56.86
1632662541.702671, 56.3, 54.61, 56.86
1632662542.5473015, 56.3, 54.61, 56.86
1632662543.3919313, 56.41, 54.61, 56.86
1632662544.2363052, 56.3, 54.61, 56.86
1632662545.0808704, 56.3, 54.61, 56.86
1632662545.925502, 56.3, 54.61, 56.86
1632662546.770473, 56.3, 54.61, 56.86
1632662547.615083, 56.3, 54.5, 56.86
1632662548.4595559, 56.3, 54.5, 56.86
1632662549.3042912, 56.3, 54.61, 56.86
1632662550.1488333, 56.3, 54.61, 56.86
1632662550.9933364, 56.3, 54.5, 56.86
1632662551.8380194, 56.3, 54.5, 56.86
1632662552.6826215, 56.3, 54.5, 56.86
1632662553.527273, 56.3, 54.5, 56.86
1632662554.3718538, 56.3, 54.5, 56.86
1632662555.2165506, 56.3, 54.5, 56.86
1632662556.0612457, 56.3, 54.5, 56.86
1632662556.9056308, 56.3, 54.5, 56.86
1632662557.750219, 56.3, 54.5, 56.86
1632662558.594833, 56.3, 54.5, 56.86
1632662559.439901, 56.3, 54.5, 56.86
1632662560.2843707, 56.3, 54.5, 56.86
1632662561.1290529, 56.3, 54.5, 56.86
1632662561.9735625, 56.3, 54.5, 56.86
1632662562.818063, 56.3, 54.5, 56.86
1632662563.662824, 56.3, 54.5, 56.86
1632662564.5074763, 56.3, 54.5, 56.86
1632662565.3521168, 56.3, 54.5, 56.86
1632662566.1967201, 56.3, 54.5, 56.86
1632662567.0414054, 56.3, 54.5, 56.86
1632662567.8860025, 56.41, 54.5, 56.86
1632662568.7306368, 56.3, 54.5, 56.86
1632662569.575296, 56.3, 54.5, 56.86
1632662570.419613, 56.3, 54.5, 56.86
1632662571.2642336, 56.41, 54.5, 56.86
1632662572.1088796, 56.3, 54.5, 56.86
1632662572.9537435, 56.3, 54.5, 56.86
1632662573.7984018, 56.3, 54.5, 56.86
1632662574.6432247, 56.3, 54.5, 56.75
1632662575.4876957, 56.3, 54.5, 56.75
1632662576.3322933, 56.3, 54.5, 56.75
1632662577.1769187, 56.3, 54.5, 56.75
1632662578.021611, 56.41, 54.5, 56.75
1632662578.86612, 56.41, 54.5, 56.75
1632662579.710897, 56.41, 54.5, 56.75
1632662580.555609, 56.41, 54.5, 56.75
1632662581.400214, 56.41, 54.5, 56.75
1632662582.2447512, 56.41, 54.5, 56.75
1632662583.0892625, 56.41, 54.5, 56.75
1632662583.933914, 56.41, 54.5, 56.75
1632662584.7787027, 56.41, 54.5, 56.75
1632662585.6236234, 56.3, 54.5, 56.75
1632662586.4682267, 56.3, 54.39, 56.75
1632662587.312756, 56.3, 54.39, 56.75
1632662588.1575427, 56.3, 54.39, 56.75
1632662589.0021956, 56.3, 54.39, 56.75
1632662589.8469217, 56.3, 54.39, 56.75
1632662590.691585, 56.3, 54.39, 56.75
1632662591.5362332, 56.3, 54.39, 56.75
1632662592.3807778, 56.3, 54.39, 56.75
1632662593.2254546, 56.3, 54.39, 56.75
1632662594.0701475, 56.3, 54.39, 56.75
1632662594.9149177, 56.41, 54.39, 56.75
1632662595.7592616, 56.3, 54.39, 56.75
1632662596.603889, 56.3, 54.39, 56.75
1632662597.4486318, 56.3, 54.28, 56.75
1632662598.2936094, 56.3, 54.28, 56.75
1632662599.1383274, 56.3, 54.28, 56.75
1632662599.983005, 56.3, 54.28, 56.75
1632662600.8276587, 56.3, 54.28, 56.75
1632662601.6722636, 56.41, 54.39, 56.75
1632662602.5169444, 56.3, 54.28, 56.75
1632662603.3616052, 56.41, 54.28, 56.75
1632662604.2062945, 56.3, 54.28, 56.75
1632662605.0509903, 56.41, 54.28, 56.75
1632662605.89558, 56.3, 54.39, 56.75
1632662606.7403836, 56.3, 54.39, 56.75
1632662607.5850189, 56.3, 54.39, 56.75
1632662608.429399, 56.3, 54.28, 56.75
1632662609.2740514, 56.41, 54.28, 56.75
1632662610.1187966, 56.41, 54.28, 56.75
1632662610.9637358, 56.3, 54.28, 56.75
1632662611.8083289, 56.3, 54.28, 56.75
1632662612.6530595, 56.3, 54.39, 56.75
1632662613.497747, 56.3, 54.39, 56.75
1632662614.3422728, 56.3, 54.28, 56.75
1632662615.187253, 56.3, 54.39, 56.75
1632662616.0319352, 56.3, 54.28, 56.75
1632662616.8765693, 56.3, 54.39, 56.75
1632662617.721327, 56.41, 54.39, 56.75
1632662618.5660284, 56.3, 54.28, 56.75
1632662619.4105847, 56.41, 54.28, 56.86
1632662620.2554169, 56.3, 54.28, 56.75
1632662621.099847, 56.3, 54.28, 56.86
1632662621.9445417, 56.3, 54.28, 56.75
1632662622.789174, 56.3, 54.28, 56.75
1632662623.6341336, 56.3, 54.39, 56.75
1632662624.478644, 56.41, 54.28, 56.86
1632662625.3234744, 56.41, 54.28, 56.75
1632662626.1686661, 56.41, 54.28, 56.75
1632662627.0129592, 56.3, 54.28, 56.75
1632662627.8575988, 56.3, 54.28, 56.86
1632662628.7023737, 56.3, 54.28, 56.86
1632662629.5471215, 56.41, 54.28, 56.86
1632662630.39183, 56.41, 54.28, 56.86
1632662631.2364564, 56.3, 54.28, 56.75
1632662632.0811555, 56.3, 54.28, 56.86
1632662632.9257247, 56.3, 54.28, 56.75
1632662633.7702405, 56.3, 54.28, 56.86
1632662634.615095, 56.3, 54.28, 56.86
1632662635.4597433, 56.3, 54.28, 56.86
1632662636.3045943, 56.41, 54.28, 56.86
1632662637.1493506, 56.3, 54.28, 56.86
1632662637.994141, 56.3, 54.16, 56.75
1632662638.8386838, 56.3, 54.28, 56.86
1632662639.6835654, 56.3, 54.28, 56.75
1632662640.5281987, 56.3, 54.28, 56.75
1632662641.3729184, 56.3, 54.28, 56.75
1632662642.2175615, 56.3, 54.28, 56.75
1632662643.062268, 56.3, 54.28, 56.75
1632662643.9070194, 56.3, 54.28, 56.86
1632662644.751632, 56.3, 54.28, 56.86
1632662645.596267, 56.3, 54.16, 56.86
1632662646.4408329, 56.3, 54.28, 56.75
1632662647.2855222, 56.3, 54.28, 56.75
1632662648.1302335, 56.3, 54.28, 56.75
1632662648.9749076, 56.3, 54.16, 56.86
1632662649.819934, 56.3, 54.16, 56.86
1632662650.6648123, 56.41, 54.16, 56.86
1632662651.5094576, 56.3, 54.16, 56.75
1632662652.3542082, 56.3, 54.28, 56.86
1632662653.1989477, 56.3, 54.16, 56.75
1632662654.0435479, 56.41, 54.16, 56.75
1632662654.8883588, 56.3, 54.16, 56.75
1632662655.7330687, 56.3, 54.16, 56.75
1632662656.5777028, 56.3, 54.16, 56.75
1632662657.4223838, 56.3, 54.16, 56.75
1632662658.2672436, 56.3, 54.28, 56.75
1632662659.1119056, 56.3, 54.16, 56.75
1632662659.9564373, 56.3, 54.16, 56.75
1632662660.8010905, 56.3, 54.16, 56.75
1632662661.6458004, 56.3, 54.16, 56.75
1632662662.4908266, 56.3, 54.16, 56.75
1632662663.335578, 56.3, 54.16, 56.75
1632662664.1802585, 56.3, 54.16, 56.75
1632662665.0249486, 56.3, 54.16, 56.75
1632662665.8695474, 56.3, 54.16, 56.75
1632662666.7143295, 56.3, 54.16, 56.75
1632662667.5590506, 56.3, 54.16, 56.75
