time,time_diff,temp,tod,season,pressure,humidity,dew_pt,clouds,wind_speed,wind_deg,4020824211773201175,4025185137773201155,4067173146773201181,4091235214773201212,4015213417077320185,4010224513677320196,403037224773201139,406908213773201128,40024920777320136,40217218126773201172,405322121277320127,402272285877320170,401400620977320137,409061132773201254,4016624233773201214,40245178127773201199
1646931600,0,0.6218235343127726,0.7391304347826086,0.8901098901098901,0.9903006789524733,0.6,0.953085730242949,1.0,0.18863879957127547,0.46944444444444444,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0
1646935200,3600,0.6310717360513234,0.782608695652174,0.8901098901098901,0.9903006789524733,0.58,0.9527017592851158,0.98,0.3054662379421222,0.45555555555555555,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0
1646938800,7200,0.6468186741466937,0.8260869565217391,0.8901098901098901,0.9893307468477207,0.56,0.9530508237922366,0.94,0.29260450160771706,0.4361111111111111,47.3,46.96,47.3,47.08,48.09,46.51,47.75,48.2,47.08,47.3,47.08,47.08,48.31,48.2,47.19,47.97
1646942400,10800,0.6615658066487072,0.8695652173913043,0.8901098901098901,0.988360814742968,0.55,0.9540282044121753,0.96,0.2658092175777063,0.4444444444444444,47.86,47.41,48.2,47.86,48.54,46.74,48.31,48.2,47.64,48.2,47.75,47.75,48.76,48.88,47.64,48.42
1646946000,14400,0.670814008387258,0.9130434782608695,0.8901098901098901,0.988360814742968,0.56,0.9561225914549009,0.96,0.255091103965702,0.4222222222222222,47.97,47.75,48.76,47.3,47.97,46.63,47.97,48.2,47.97,48.2,47.41,47.75,48.65,48.31,48.09,48.2
1646949600,18000,0.6773127447440777,0.9565217391304348,0.8901098901098901,0.9873908826382153,0.59,0.9581471655962022,0.93,0.26473740621650593,0.39166666666666666,46.74,46.29,46.51,46.51,46.96,45.95,47.08,47.3,46.85,47.3,46.17,46.63,47.08,47.08,46.29,47.08
1646953200,21600,0.6370705696114645,1.0,0.8901098901098901,0.9873908826382153,0.67,0.9586358559061714,0.94,0.24866023579849944,0.375,45.39,44.83,45.05,44.94,45.05,44.15,45.16,46.4,45.39,45.5,44.6,45.05,45.5,45.61,45.16,45.5
1646956800,25200,0.610575721387508,0.0,0.9010989010989011,0.988360814742968,0.69,0.9566461882155822,0.95,0.24758842443729903,0.4027777777777778,45.05,44.38,44.38,44.49,44.71,43.7,44.04,45.5,44.71,45.5,44.15,44.6,44.6,44.94,44.26,44.94
1646960400,28800,0.5985780542672259,0.043478260869565216,0.9010989010989011,0.988360814742968,0.71,0.9559480592013404,1.0,0.202572347266881,0.44722222222222224,43.92,43.47,43.81,43.81,43.7,42.69,43.36,44.6,44.15,44.6,43.25,43.81,43.92,43.92,43.47,43.7
1646964000,32400,0.5938289776987808,0.08695652173913043,0.9010989010989011,0.9893307468477207,0.71,0.9560527785534766,1.0,0.18756698821007503,0.5305555555555556,42.24,41.56,41.34,42.13,41.67,40.78,41.45,42.8,42.01,42.8,41.45,41.79,41.9,41.9,41.79,41.56
